Observed Value of ChemAHNet,Predicted Value of ChemAHNet,Observed Value of ChemAHNet-No MoIM,Predicted Value of ChemAHNet-No MoIM,Observed Value of ChemAHNet-No RCIM,Predicted Value of ChemAHNet-No RCIM,Observed Value of ChemAHNet-No MIM,Predicted Value of ChemAHNet-No MIM
-1.3,0.07708359,-1.3,1.699697,-1.3,0.5176921,-1.3,0.0723362
1.1499996,0.67609787,1.1499996,0.6619177,1.1499996,0.9102249,1.1499996,1.1698704
2.7200003,1.701796,2.7200003,1.308053,2.7200003,1.2489176,2.7200003,0.40563393
-2.72,-2.3432255,-2.72,-2.6668882,-2.72,-2.5511556,-2.72,-0.9272826
1.3400002,0.3801508,1.3400002,0.92747927,1.3400002,0.70469904,1.3400002,0.013834
2.06,1.1780624,2.06,0.40513802,2.06,0.2445569,2.06,1.1362247
0,2.303646,0,3.0436778,0,3.3702607,0,1.9816227
2.48,2.365068,2.48,2.0077982,2.48,0.97337055,2.48,-0.020772934
-1.6299999,-1.7154243,-1.6299999,-2.4580882,-1.6299999,-0.67108274,-1.6299999,0.8089695
2.7200003,-1.6144195,2.7200003,-2.2250402,2.7200003,-2.5300035,2.7200003,-0.91684556
1.8800001,1.8056993,1.8800001,2.084281,1.8800001,2.2064486,1.8800001,0.9381962
-0.46000004,-0.90180635,-0.46000004,-1.377964,-0.46000004,-0.73837495,-0.46000004,-1.173651
-2.48,-2.0470512,-2.48,-1.7054775,-2.48,-2.5217881,-2.48,-1.3725035
4.5,-2.0079553,4.5,-2.4570312,4.5,-1.3267274,4.5,-1.603903
-0.19000006,0.026916504,-0.19000006,-0.2419281,-0.19000006,-0.107405186,-0.19000006,-0.1204052
-1.53,0.60035896,-1.53,0.9820075,-1.53,1.7206726,-1.53,0.4663334
2.27,-0.4072523,2.27,-0.35721588,2.27,-0.86656857,2.27,0.33504677
-2.52,0.82433844,-2.52,0.95232296,-2.52,1.8062029,-2.52,0.6146488
-2.72,-1.9109943,-2.72,-2.4694498,-2.72,-2.7418203,-2.72,-1.6095335
3.1,1.7003727,3.1,1.08672,3.1,-0.7108202,3.1,0.29982185
1.8800001,1.4521589,1.8800001,1.1072431,1.8800001,1.7307801,1.8800001,0.5531254
2.2400002,1.6388373,2.2400002,1.8832617,2.2400002,2.4503107,2.2400002,1.4390354
-1.74,-0.96260047,-1.74,-1.633997,-1.74,-0.20736742,-1.74,-0.07426262
-2.23,-1.9179709,-2.23,-1.6914744,-2.23,1.7024169,-2.23,-0.76516557
1.5,1.2283607,1.5,0.6963005,1.5,1.5672393,1.5,0.006830216
-1.5799999,-0.37486935,-1.5799999,-0.7829511,-1.5799999,-0.35876226,-1.5799999,0.9952564
-2.87,-2.5566764,-2.87,-2.1024256,-2.87,-2.87847,-2.87,-1.4430907
0.97999954,0.70025635,0.97999954,0.49467802,0.97999954,2.0740418,0.97999954,-0.32502556
-0.09000015,2.2035613,-0.09000015,2.927238,-0.09000015,1.9185209,-0.09000015,0.06546974
2.02,0.5177789,2.02,-2.0447178,2.02,-1.8334413,2.02,0.20018959
-3.85,-3.6677587,-3.85,-2.847342,-3.85,-1.3796091,-3.85,-0.5541594
-3.71,-3.2127552,-3.71,-3.1921337,-3.71,-3.9627144,-3.71,-0.9518645
-0.72,-1.6581235,-0.72,-2.0503206,-0.72,-2.2177944,-0.72,0.38681984
1.0700002,1.373673,1.0700002,1.8045292,1.0700002,1.2891846,1.0700002,0.72245216
0.28999996,0.5335593,0.28999996,-0.34599638,0.28999996,0.6813202,0.28999996,-0.61389756
2.17,-0.7864108,2.17,-0.42792654,2.17,0.067219734,2.17,-0.21351433
3.13,2.6315851,3.13,3.0757585,3.13,3.2146788,3.13,0.81370735
1.0299997,1.2971044,1.0299997,0.38350487,1.0299997,-1.0075691,1.0299997,0.9127903
1.6700001,0.80463505,1.6700001,1.4863305,1.6700001,1.0919065,1.6700001,1.0083027
-0.8599999,-1.5297399,-0.8599999,-1.7247374,-0.8599999,-2.1654456,-0.8599999,0.38112068
-1.1299999,-1.0010321,-1.1299999,-0.38750744,-1.1299999,-1.1975334,-1.1299999,-0.49627495
-1.95,0.6123204,-1.95,2.3782153,-1.95,1.2868295,-1.95,0.20815468
-1.53,-2.2053757,-1.53,-1.9966602,-1.53,-2.0397034,-1.53,-0.5591719
-2.48,-2.3750932,-2.48,-0.9923618,-2.48,-0.85693145,-2.48,-0.07227135
1.96,-1.125895,1.96,-2.1975074,1.96,-1.7991443,1.96,0.7864475
-0.42999983,-0.2676673,-0.42999983,1.7961307,-0.42999983,1.875607,-0.42999983,0.7746372
-0.70000005,-0.8102832,-0.70000005,-1.6613164,-0.70000005,-1.2809792,-0.70000005,-0.113882065
3.27,2.983904,3.27,2.6466393,3.27,2.6638737,3.27,1.7771397
-2.48,-1.3038883,-2.48,-1.8848631,-2.48,-0.93546605,-2.48,-0.34033775
-1.46,-0.17701435,-1.46,0.2563343,-1.46,0.6133237,-1.46,0.9464359
2.13,2.0710473,2.13,1.9066019,2.13,2.3335981,2.13,1.4888859
0.8200002,0.80422497,0.8200002,0.74673843,0.8200002,1.1855936,0.8200002,0.47457314
2.06,1.8559618,2.06,2.2145271,2.06,2.3291035,2.06,1.1735783
-2.5700002,-2.278958,-2.5700002,-2.4543943,-2.5700002,-2.1612182,-2.5700002,-1.3403685
3.13,1.1636477,3.13,2.5305853,3.13,2.2236328,3.13,-0.9008467
-4.42,-3.12256,-4.42,-2.6034207,-4.42,2.036909,-4.42,-1.1678832
1.4100003,1.617384,1.4100003,1.6380529,1.4100003,2.0378885,1.4100003,1.2442341
2,1.6852789,2,2.1686897,2,2.0469775,2,1.7645054
-0.3499999,-0.20484829,-0.3499999,-0.5911069,-0.3499999,-0.5228791,-0.3499999,0.8717289
-3.13,-2.1285343,-3.13,-2.3263276,-3.13,-2.4329154,-3.13,0.19366646
-1.53,-0.8204727,-1.53,-1.5555007,-1.53,-0.75224376,-1.53,0.19730568
1.7399998,1.101625,1.7399998,1.9798841,1.7399998,1.8008661,1.7399998,1.6488743
2.6,2.5172749,2.6,2.4075694,2.6,2.6929336,2.6,1.4586735
-0.6400001,-0.1055007,-0.6400001,-0.6385958,-0.6400001,0.49278402,-0.6400001,0.6005039
0.87000036,-0.63286424,0.87000036,-0.40885067,0.87000036,-1.1826859,0.87000036,-0.5553267
4.09,3.889721,4.09,3.4584742,4.09,3.8976297,4.09,0.47471046
4.5,3.8773193,4.5,4.5207405,4.5,4.190111,4.5,0.3297596
2.48,2.1479893,2.48,0.60166836,2.48,0.6535349,2.48,-0.5305388
-1.8800001,-1.8412361,-1.8800001,-2.047913,-1.8800001,-1.6901805,-1.8800001,0.29089546
1.8800001,-0.44583845,1.8800001,-0.085679054,1.8800001,-1.6603396,1.8800001,-0.8126128
0.34000015,-0.861794,0.34000015,-0.75085616,0.34000015,-0.7615044,0.34000015,-0.12830162
-1.49,-1.5192308,-1.49,-1.62344,-1.49,-1.5657985,-1.49,-1.8300841
-0.94000006,-0.95946693,-0.94000006,-1.3785274,-0.94000006,-2.2960618,-0.94000006,-1.1010039
-0.42999983,-1.3246372,-0.42999983,-1.4165783,-0.42999983,-1.630054,-0.42999983,-1.7997344
2.02,0.9361005,2.02,1.4762578,2.02,1.4079757,2.02,0.4905033
2.48,1.0896797,2.48,2.4245372,2.48,1.4904146,2.48,0.25882912
-1.2900002,-0.48874474,-1.2900002,-0.49054432,-1.2900002,0.7559233,-1.2900002,0.091630936
-1.6299999,1.5359907,-1.6299999,-0.012421131,-1.6299999,-0.6923914,-1.6299999,0.30758095
2.48,0.59319115,2.48,2.237094,2.48,1.1228147,2.48,0.69093513
-1.74,0.12560463,-1.74,0.35193443,-1.74,-1.9486339,-1.74,0.03209877
2.7200003,2.853438,2.7200003,1.7247686,2.7200003,-1.1954794,2.7200003,-0.00607872
3.8500004,3.5755997,3.8500004,2.9738169,3.8500004,3.6902294,3.8500004,-0.09190941
-1.24,-1.3802068,-1.24,-1.0749111,-1.24,-0.71310496,-1.24,-0.84715104
2.6400003,2.087078,2.6400003,2.4127922,2.6400003,2.2952495,2.6400003,-0.14807701
2.1499996,1.6763368,2.1499996,1.961698,2.1499996,0.8606982,2.1499996,0.66999245
2.4499998,1.3153939,2.4499998,1.0010095,2.4499998,0.79227066,2.4499998,0.2989292
-1.1500001,-0.346838,-1.1500001,-1.0858502,-1.1500001,0.13708162,-1.1500001,0.49118996
-1.74,-1.2413721,-1.74,-1.7017815,-1.74,-1.4520967,-1.74,0.28176308
-1.1700001,-0.9030864,-1.1700001,-1.8185649,-1.1700001,-1.3766084,-1.1700001,0.8264103
2.6,-1.7586107,2.6,-1.6710157,2.6,-1.4245341,2.6,-1.3385832
1.6100001,-0.11159563,1.6100001,-2.1156447,1.6100001,-2.0636425,1.6100001,-1.2392943
1.1300001,1.2296104,1.1300001,1.6613574,1.1300001,1.3653045,1.1300001,1.0425663
1.96,1.3679504,1.96,0.61995316,1.96,0.71020603,1.96,0.29673195
1.4000001,0.71681404,1.4000001,0.672019,1.4000001,0.7962718,1.4000001,0.87887
-3.13,-2.28918,-3.13,-2.1132467,-3.13,-2.036629,-3.13,0.14058876
0.13000011,-0.28317547,0.13000011,-0.06695223,0.13000011,-0.19730616,0.13000011,0.35949135
1.3699999,1.4541435,1.3699999,1.5640235,1.3699999,1.8956895,1.3699999,0.3452778
1.96,0.22050858,1.96,1.2213507,1.96,2.0647807,1.96,-0.7994292
-1.8800001,-1.3648744,-1.8800001,-1.2605608,-1.8800001,-1.4016716,-1.8800001,0.7019901
-2.85,-2.6258538,-2.85,-2.8465621,-2.85,-2.5896869,-2.85,-1.8451903
0.94000006,-1.24159,0.94000006,-2.2452393,0.94000006,0.25462198,0.94000006,0.37789345
2.48,2.2412605,2.48,2.6650085,2.48,2.3910398,2.48,0.36237526
-0.3499999,-0.60496616,-0.3499999,-0.09465885,-0.3499999,-0.24590158,-0.3499999,-0.2542324
2.0700002,1.4109416,2.0700002,1.863678,2.0700002,2.109252,2.0700002,0.40398598
-0.6299999,-1.4270132,-0.6299999,-1.7528548,-0.6299999,-0.08389902,-0.6299999,-1.1412413
2.7200003,1.536499,2.7200003,1.4883046,2.7200003,1.5578833,2.7200003,0.67232704
1.6799998,1.5586176,1.6799998,1.0773535,1.6799998,2.002757,1.6799998,-0.07398796
2.3600001,1.6071815,2.3600001,1.8034668,2.3600001,1.912312,2.3600001,1.2752705
-2.6999998,-1.4275663,-2.6999998,-2.049409,-2.6999998,-2.6839113,-2.6999998,-0.5995467
1.8700004,1.725038,1.8700004,0.8552089,1.8700004,2.327538,1.8700004,1.9059544
-0.03999996,-1.0186737,-0.03999996,-0.866122,-0.03999996,0.52519035,-0.03999996,-1.2414916
-1.8800001,-1.8889422,-1.8800001,-1.6059864,-1.8800001,-2.1988277,-1.8800001,-1.5052321
-1.3299999,0.1553297,-1.3299999,0.44252872,-1.3299999,0.8766308,-1.3299999,0.42843056
-0.6299999,-0.5367396,-0.6299999,-0.93727756,-0.6299999,-0.42383242,-0.6299999,-0.267004
1.6599998,0.9995284,1.6599998,1.0779686,1.6599998,0.25507498,1.6599998,0.69979286
-2.1699998,1.8847904,-2.1699998,-0.010282993,-2.1699998,1.8907561,-2.1699998,-0.38785362
0,-1.6276829,0,-1.8530345,0,-1.7174954,0,-0.12919426
-1,-0.43712473,-1,-0.911958,-1,-1.6031027,-1,-0.07865715
3.6800003,2.851655,3.6800003,3.0885177,3.6800003,-0.8265083,3.6800003,-0.86150193
-2.04,-2.1808963,-2.04,-2.0076482,-2.04,-1.3157947,-2.04,-2.6778166
-0.28999996,-0.91703653,-0.28999996,-0.20049381,-0.28999996,-0.13698292,-0.28999996,0.5201664
0.09000015,-0.4293952,0.09000015,1.1434875,0.09000015,0.97375965,0.09000015,0.5696049
2.13,1.7261229,2.13,2.1526384,2.13,2.4952912,2.13,1.7673893
-3.13,-2.209123,-3.13,-2.0890932,-3.13,-2.3837192,-3.13,-1.1131575
3.13,1.8094816,3.13,2.2343178,3.13,-0.6184435,3.13,1.1671238
-2.1699998,-1.9721451,-2.1699998,-1.8511095,-2.1699998,-1.712136,-2.1699998,-1.4139769
0.029999733,-0.13847446,0.029999733,-0.09768677,0.029999733,-0.020071983,0.029999733,-0.8009398
0.30999994,0.04985571,0.30999994,-0.16690731,0.30999994,0.3796463,0.30999994,-1.7644408
-2.3,-1.9684405,-2.3,-1.8199692,-2.3,-1.5338583,-2.3,-0.9576323
3.13,1.4583664,3.13,3.2782536,3.13,1.677691,3.13,-0.4250698
0.9000001,-0.67287254,0.9000001,-0.9103973,0.9000001,-1.1528287,0.9000001,-0.28609276
-3.68,-2.201977,-3.68,-2.009182,-3.68,-2.705624,-3.68,-1.1395934
0.3199997,0.32709885,0.3199997,-1.8931067,0.3199997,-0.023018837,0.3199997,-0.4903698
-2.77,-0.15454626,-2.77,-1.2381611,-2.77,-0.42904663,-2.77,-0.59474015
-0.70000005,-1.0228951,-0.70000005,-1.2572069,-0.70000005,-0.34014797,-0.70000005,-0.43008232
3.6800003,3.0380049,3.6800003,3.968645,3.6800003,3.8940525,3.6800003,0.08600044
-1.0500002,0.3952942,-1.0500002,0.66111374,-1.0500002,0.6740327,-1.0500002,-0.89844346
-2.0600002,-1.6902034,-2.0600002,-2.0282083,-2.0600002,-1.7069347,-2.0600002,-1.1014845
2.48,1.8804722,2.48,1.7758589,2.48,2.1335144,2.48,1.3085728
-2.48,-2.358871,-2.48,-2.416812,-2.48,-2.5619237,-2.48,-3.3065093
0,1.6549377,0,1.4198937,0,1.7351809,0,1.712183
2.7200003,2.2757473,2.7200003,1.7002993,2.7200003,2.5765653,2.7200003,1.0793018
2.7200003,2.107685,2.7200003,1.9628077,2.7200003,0.8784509,2.7200003,1.7180882
-4.5,-4.3085556,-4.5,-3.516219,-4.5,-4.660533,-4.5,0.0645771
-2.72,-2.3381898,-2.72,-1.6674287,-2.72,-2.54873,-2.72,-0.5225737
