Observed Value1,Predicted Value1
1.5318029,1.2674983
0.31517172,0.33353877
0.5890022,0.5089641
1.2381091,1.4219482
0.19114208,0.33527887
0.8209451,0.93376106
0.392794,0.4785279
1.0749905,0.76307756
1.3011672,1.7149801
0.61940867,1.2727246
0,0.06205076
3.1346245,2.863395
1.0272076,1.1733019
1.7436576,1.4742775
3.1346245,2.5575924
1.5318029,1.5449607
0.41937774,0.29412204
0.50175846,0.25864774
-0.36658674,-0.24622193
1.4463253,1.4135089
1.1257224,1.1547279
0,0.101032495
0.47381997,0.5079547
0.24011105,0.32528913
0.5890022,0.4788664
1.3011672,1.278142
1.0272076,0.6945525
1.3011672,1.1786506
1.4463253,1.7364063
0.8209451,0.8426662
0.5592976,0.7152801
1.1798906,1.0797527
1.4463253,1.6010191
3.1346245,2.7234323
1.3701036,1.2005773
1.4463253,1.322675
2.304684,2.2410445
0.19114208,0.378098
3.1346245,2.5566733
1.1798906,1.3035357
0.9819805,1.2348516
1.2381091,1.3150485
1.1798906,1.0600562
1.3011672,1.4155192
0.40603667,0.49903077
0.41937774,0.57449055
-0.07114786,-0.002518207
1.0272076,1.1859224
-0.19114208,-0.29414305
0.02369064,0.20338601
1.4463253,1.8447151
1.0272076,1.3946583
1.3011672,1.1971741
0.34072298,0.29642415
0.50175846,0.5665748
1.4463253,1.4394951
0,0.033756703
0.1669085,0.30818182
0.5592976,0.6462775
1.4877539,1.8974497
0.392794,0.3790015
1.1798906,1.0492702
1.3011672,1.1754282
1.2381091,1.3236842
1.4463253,1.6390784
3.1346245,3.2104182
1.5318029,1.4031305
1.7436576,2.2412481
1.3701036,1.3036191
0.392794,0.32464683
1.3011672,1.3399713
1.3011672,1.1777146
0.47381997,0.5012653
0.02369064,0.06638718
0.8209451,0.8297432
1.1798906,1.2612956
1.3011672,1.2188194
1.1257224,1.3587918
1.2084489,1.1982453
0.61940867,0.4976927
2.304684,1.7841096
3.1346245,2.5026603
1.0272076,1.3627994
0.31517172,0.42651927
1.0749905,1.2633641
1.3701036,1.4893639
3.1346245,2.7465262
0.3665868,0.31188303
0.5592976,0.61932117
1.7436576,1.0778704
1.3701036,1.1611631
0.5592976,0.5150348
0.8209451,0.70380336
0.53023446,0.24927962
0.8586766,0.7701829
1.3701036,1.2257583
2.304684,2.0316045
0.392794,0.2890579
1.1798906,1.2637539
0.65058357,0.80688614
1.1798906,1.3780107
0.24011105,0.25543892
1.1798906,1.2437637
1.6294224,1.4724712
0.34072298,0.5021062
0.24011105,0.32168978
0.8586766,0.6702314
0.50175846,0.6214599
0.44637358,0.28673357
2.7211688,2.8415413
0.7495107,0.61964875
1.3011672,1.4298279
3.1346245,2.7142174
0.28990394,0.35000497
1.1257224,1.1917279
0.65058357,0.62250024
0.8979607,0.9337856
0.3665868,0.46504593
0.47381997,0.4730246
3.1346245,3.059161
0.53023446,0.53383833
0.65058357,0.6763465
-0.19114208,-0.36583465
1.1798906,1.0014384
0.14281297,0.1106804
1.3701036,1.3036199
1.2381091,1.2815447
1.1798906,1.3584259
-0.09495276,0.060998738
0.1669085,0.25412035
-0.24011102,-0.02946806
1.8820012,2.294818
1.4463253,1.4342189
2.0584993,2.0105588
1.2381091,1.1004639
1.4463253,1.2729805
0.50175846,0.7306636
1.5318029,1.2983708
1.8820012,1.5508413
1.1798906,1.1118371
1.1523421,1.3961692
1.0999599,1.1797183
1.3701036,1.3649204
0.14281297,0.14857328
1.3701036,0.70291585
0.7495107,0.8700699
1.4463253,1.2446554
0.28990394,0.23310548
0.1669085,0.19094902
1.0749905,1.4150586
1.4463253,1.3092132
1.1523421,1.2122827
1.4463253,1.6586599
0.40603667,0.44134974
0.44637358,0.60668665
1.1798906,1.1762772
1.0749905,1.257283
1.4463253,1.5571897
1.2381091,1.2663908
0.50175846,0.7147369
0.53023446,0.29655832
0.24011105,0.1425376
0.26489234,0.2587657
1.1257224,1.1990023
0.61940867,0.6582977
0.65058357,0.7460137
1.2381091,1.3017848
1.3011672,1.2137332
0.53023446,0.3736267
3.1346245,2.6095662
1.3011672,1.4529424
0.7495107,0.70703846
0.44637358,0.5569315
0.14281297,0.39801973
1.6840911,1.8346207
1.4463253,1.3127191
0.118834496,0.105790794
1.4463253,1.2615447
1.7436576,2.731079
0.8586766,1.2256708
1.3701036,1.1765747
0.65058357,0.8256406
-0.14281297,0.010471016
2.304684,2.1920624
1.3011672,1.3395729
2.0584993,1.5989203
1.1257224,1.4687867
0.44637358,0.6969015
1.3701036,1.3367052
0.8209451,0.86820644
-0.26489234,-0.09090215
1.1798906,1.3036566
0.5890022,0.5818142
1.0272076,1.2233002
3.1346245,2.4515793
0,0.019300193
0.02369064,0.08225405
0.047400236,0.038110435
1.3011672,1.2052796
2.304684,2.7282054
3.1346245,2.3258588
1.1798906,1.1161492
1.2381091,1.2493775
1.1257224,1.2060461
0.24011105,0.19235432
1.1257224,1.173686
0.7846032,0.7379381
0.5159263,0.516365
1.5318029,1.9185245
0.65058357,0.6007591
3.1346245,2.9342775
1.3011672,0.801302
1.1798906,1.3286245
0.34072298,0.3221143
0,-0.028897315
1.268975,1.2648685
1.4463253,1.2753849
1.2381091,1.3542237
1.3011672,1.4414694
0.24011105,0.14229661
0.8209451,0.64727753
0.9389873,0.71492666
1.0272076,1.2472823
0.5890022,0.6000598
0.31517172,0.26605976
1.6294224,1.5001965
0.47381997,0.6110515
1.1798906,1.3611946
0.14281297,0.15134722
2.0584993,2.675437
0.61940867,0.64272994
0.118834496,0.09445089
1.4463253,1.0730462
1.6294224,1.4376476
0.9819805,1.1770701
0.50175846,0.5769024
2.7211688,2.6874318
-0.047400236,0.06331578
0.9819805,1.1049008
1.3011672,1.4421065
2.304684,2.6344056
2.0584993,1.7593157
0.26489234,0.22141254
1.3701036,1.3455822
0.02369064,-0.14198685
0.5592976,0.64611405
2.0584993,2.2267995
0.5890022,0.51362556
0.41937774,0.46715236
1.7436576,2.1120608
1.3011672,1.178735
1.1798906,1.358845
0.047400236,0.08785105
-0.047400236,0.051359445
0.5592976,0.7765481
1.5318029,1.5963216
1.0749905,1.1665905
1.4463253,1.4998927
0.50175846,0.50801206
1.1257224,1.2212946
1.5318029,1.375154
0.7495107,0.74450046
0.8209451,0.78763694
1.2381091,1.2702188
0.41937774,0.27627373
1.0272076,1.1223049
0.24011105,0.2592588
1.0749905,1.122014
0.5890022,0.57197213
1.0272076,1.251421
0.5592976,0.6185892
1.3701036,1.3082001
0.19114208,0.13039094
0.53023446,0.75169116
3.1346245,2.9948654
-0.023690611,0.005313605
1.1798906,1.1659653
1.9641528,1.8097534
0.47381997,0.46265185
1.2381091,1.1940656
0.65058357,0.6923987
1.1798906,1.2144454
0.21553546,0.21133232
0.19114208,0.01738426
1.3011672,1.7047536
1.0749905,0.7661441
1.5318029,1.6125543
0.392794,0.39729792
0.34072298,0.35501587
0.65058357,0.8772759
1.5318029,1.2534678
0.7155457,0.44311428
1.1257224,1.1661706
1.3011672,1.1500151
0.53023446,0.6933778
1.3701036,1.3578901
0.8209451,1.1665361
2.7211688,2.300559
0.5592976,0.4982437
1.1798906,1.2413821
2.304684,2.0383608
0.5592976,0.6802514
2.0584993,1.94244
0.9819805,1.1266727
1.0749905,1.1433816
3.1346245,2.7121706
0.5890022,0.68644375
0.61940867,0.7805641
0.47381997,0.5993692
0.65058357,0.7998819
1.1257224,1.2039151
0.3665868,0.26281732
1.6294224,1.4525185
