Observed Value 1,Predicted Value 1,Observed Value 2,Predicted Value 2,Observed Value 3,Predicted Value 3,Observed Value 4,Predicted Value 4
0.24011105,0.5059832,0.50175846,0.7281206,-0.26489234,0.020141691,0.28990394,0.303056
0.8586766,0.9524818,1.0749905,0.92626756,-0.24011102,0.11011553,0.5592976,0.3210886
0.7495107,1.0282075,1.1798906,0.9620678,-0.118834496,-0.037047595,0.8209451,0.52461505
0.41937774,0.42033255,0.44637358,0.76474243,0,-0.023791164,0.28990394,0.342843
0.41937774,0.35504848,0.53023446,0.69487137,0.02369064,0.09984559,0.14281297,0.12927622
0.44637358,0.73503023,0.7495107,0.6803748,0.8209451,0.8165501,0,0.054555923
-0.24011102,-0.05629599,-0.26489234,0.08063972,-0.118834496,0.008695692,0.31517172,0.280788
-0.1669085,-0.2536428,-0.24011102,0.10054195,1.1523421,0.8362656,1.2381091,1.3877203
0.21553546,0.21631354,0.26489234,0.25342,0.53023446,0.49804235,1.2381091,1.5272627
-0.19114208,-0.24895588,-0.21553543,0.114852786,0.7495107,0.40235972,1.268975,1.1941075
0.26489234,0.25138265,0.28990394,0.12259233,0.53023446,0.5059552,1.4463253,1.3891356
0.50175846,0.50268674,0.8209451,0.6263743,0.3665868,0.55048674,1.3011672,1.2781217
0.47381997,0.3895017,-0.14281297,0.08694613,1.3011672,0.92419726,1.3011672,1.0252008
0.50175846,0.7178286,-0.118834496,0.08952522,0.26489234,0.33610988,1.5318029,1.3445818
-0.24011102,0.15587312,0,0.11935502,0.3665868,0.41404402,1.3011672,1.15485
-0.26489234,0.103385925,0,0.1053648,0.61940867,1.0542598,1.6294224,1.5179179
0.02369064,0.011616945,0.02369064,0.11085141,0.24011105,0.24913836,3.1346245,2.3481967
0.02369064,0.000423074,0.8209451,0.7003817,0.118834496,0.17725784,2.7211688,2.2711093
-0.07114786,-0.10893756,1.1798906,1.1336579,0,0.46674335,1.6840911,1.8404431
0.53023446,0.670577,-0.118834496,0.088968396,0.26489234,0.21817172,1.3701036,1.2601924
0.5890022,0.7133135,1.1523421,0.9932762,1.0272076,1.2479126,1.3011672,1.233221
-0.07114786,-0.008710116,0.392794,0.7641836,1.1257224,1.0496197,1.3011672,1.1287525
1.0749905,1.243222,0.8586766,0.89459664,1.1257224,1.2332408,1.3701036,1.1103737
0.83962756,1.1127217,0.5592976,0.7375991,1.5318029,1.3667367,1.3701036,1.1750495
0.392794,0.50058925,0.53023446,0.70833355,2.478059,1.1794109,0.8209451,0.93292826
0.7155457,1.288312,0.50175846,0.78360456,1.7436576,1.1835535,0.31517172,0.49940103
0.50175846,0.59681135,0.5890022,0.7806583,0.50175846,0.5594792,0.34072298,0.5138929
0.47381997,0.4496072,1.1257224,0.52816325,0.6826014,0.76082546,0.61940867,0.56306595
0.24011105,0.5750639,0.53023446,0.7602194,0.34072298,0.31483465,-0.41937774,-0.18600588
0.5592976,0.4785645,0.65058357,0.85949737,0.14281297,0.14198035,-0.24011102,-0.34857458
0.40603667,0.5472446,0.7495107,0.723797,-0.023690611,0.45870054,0.24011105,0.23887277
0.65058357,0.6315766,0.41937774,0.63964003,0.24011105,0.297472,0.047400236,0.11375487
0.5592976,0.5138851,0.44637358,0.69498855,1.2381091,1.2377236,0.02369064,0.05189222
0.44637358,0.4913953,0.53023446,0.7402474,1.0749905,0.9330587,0,0.08336383
0.5592976,0.5825351,1.2084489,0.9449323,1.1798906,1.2611227,0.47381997,0.53091776
0.53023446,0.5930427,0.8209451,0.710563,1.3011672,1.2818966,0.6826014,0.5767203
0.8586766,1.0938938,0.3665868,0.72713155,1.5318029,1.5388649,1.1798906,1.133935
0.30250412,0.32764405,1.5318029,1.2226994,1.5788639,1.2478004,-0.24011102,-0.07937592
0.44637358,0.37948,1.5318029,1.0835891,1.7436576,1.2834628,1.1257224,1.1260469
1.3011672,1.4606483,1.3701036,0.8071348,0.28990394,0.39680833,1.0999599,1.1351035
1.3011672,1.5392163,1.3011672,0.82926995,0.5592976,0.39141214,1.1798906,0.998403
1.3011672,1.2956192,1.3011672,0.6336544,0.28990394,0.27547568,0.47381997,0.5016014
1.3011672,1.1261213,1.4463253,1.031364,0.14281297,0.12596673,0.50175846,0.71449035
1.0749905,1.1246891,0.7155457,0.7599459,0,0.7706613,0.3665868,0.4221586
1.1798906,1.2714372,0.8209451,0.87605995,0.31517172,0.25508565,0.50175846,0.5317091
1.1257224,1.1395135,0.44637358,0.7507487,1.1257224,1.4338789,0.61940867,0.588921
0.19114208,0.4515738,0.5890022,0.67950994,1.2381091,1.2467766,0.2524745,0.4411332
0.5890022,0.4117465,0.8209451,0.5855506,1.3011672,1.4028306,0.34072298,0.4698667
0.7495107,0.6316605,-0.118834496,0.078929335,1.6294224,1.8358161,1.0749905,1.351372
0.14281297,0.34636146,-0.07114786,0.10742092,1.6840911,1.3115027,1.0749905,1.1362689
0.8586766,0.77690846,0.3665868,0.2922384,1.3701036,1.1913159,0.44637358,0.32483214
0.19114208,0.4335994,-0.083041936,0.11336577,1.3701036,1.2681532,0.47381997,0.4637404
0.1669085,0.42515022,0.3665868,0.11894208,-0.118834496,0.28057128,0.5890022,0.4791922
0.1669085,0.1263932,0.5890022,0.79132396,-0.07114786,0.29461062,0.50175846,0.39056224
0.118834496,0.12477946,0.50175846,0.7713286,0.50175846,0.632135,0.118834496,0.22447056
0,0.03649679,0.8209451,0.6414537,0.118834496,0.23024327,0.118834496,0.05111298
0.34072298,0.3701048,0.118834496,0.074097246,0.02369064,-0.018265247,1.1257224,1.1494834
1.1257224,1.2581837,0.118834496,0.08843261,0.047400236,0.049498856,0.19114208,0.3494857
0.8586766,1.2864625,0.02369064,0.10441285,0.8586766,0.8486672,1.1257224,1.5909588
1.1798906,1.4208548,0.02369064,0.10019529,0.02369064,0.23444992,1.2381091,1.3804917
1.1798906,1.343941,0.047400236,0.115266025,0.5890022,0.5222413,1.0749905,1.199465
1.1257224,1.3326993,0.53023446,0.64834076,0.8586766,0.5613285,1.2381091,1.1402996
1.0999599,1.1704948,0.8586766,0.6769435,0.65058357,0.5334082,1.0749905,1.1385136
1.0749905,1.1493938,1.2381091,1.2032485,0.50175846,0.55167896,0.87811345,1.2371805
1.3701036,1.6759038,0.02369064,0.08915025,1.4877539,0.8811477,1.1257224,1.2234569
1.8820012,1.8818045,0.392794,0.73143905,-0.41937774,0.15132374,1.4463253,1.4601386
3.1346245,2.3729453,0.6826014,0.74765366,-0.24011102,0.1203686,1.3701036,1.3349786
3.1346245,2.738754,0.5890022,0.71750134,0.50175846,0.39605242,1.6294224,1.5137496
1.3701036,1.410666,0.8209451,0.7476838,0,0.007677019,2.304684,2.5471761
1.4463253,1.1318061,0.7495107,0.83102626,0.02369064,-0.012058139,2.304684,2.4051304
1.4463253,1.0979347,1.2381091,0.52280277,0,0.112615705,2.0584993,1.790576
1.4463253,1.489923,0.53023446,0.74572474,0.6826014,0.77208024,1.4463253,1.6378818
1.3701036,1.1983876,1.1257224,0.8334201,-0.24011102,0.019631147,1.0749905,1.3150544
1.4463253,1.6294212,0.8586766,0.7501611,1.0999599,0.82929987,1.0749905,1.1561291
3.1346245,3.133967,0.41937774,0.6463887,0.47381997,0.4322623,1.2381091,1.400918
3.1346245,2.151901,0.7155457,0.65878445,0.50175846,0.4738925,0.3665868,0.33685815
2.0584993,1.787138,0.65058357,0.7416031,0.61940867,0.50403196,0.5890022,0.42689043
1.3011672,1.2887955,0.6826014,0.72663695,0.34072298,0.28196257,0.7495107,0.42294627
1.5318029,1.2009213,0.50175846,0.6833288,0.44637358,0.6315332,0.31517172,0.38130528
1.3011672,1.1178744,1.4463253,0.95300704,0.47381997,0.44878018,0.09495276,0.1823144
1.3701036,1.3604794,1.5318029,1.1483123,1.2381091,1.0431132,0.09495276,0.062877506
1.8820012,1.8122697,2.304684,1.3274384,0.47381997,0.4413311,1.1798906,1.171433
2.304684,2.1942866,1.3011672,0.9473496,0.118834496,0.23060465,0.41937774,0.31391215
1.7436576,1.5179982,1.4877539,1.0285819,0.118834496,0.6266497,1.1798906,1.3860335
1.3701036,1.1594069,1.4463253,0.8770872,0.19114208,0.45821494,1.1798906,1.2131872
2.0584993,2.055632,1.4877539,0.954369,1.1798906,1.2560706,1.0272076,1.0169792
