targets,outputs
0.0,1.6423665
1.8100483,1.6293347
1.5796399,1.7363483
1.8707577,2.3704684
1.2581438,1.2967782
1.2581438,1.3523428
0.8488966,0.54609597
3.1151276,2.6610415
1.8100483,1.8803538
1.5796399,1.7896988
1.2495944,1.1801587
1.6849014,2.0583146
0.061286055,0.3481023
1.7979064,2.52967
1.3056797,1.512622
1.3056797,1.6033361
1.882926,1.8277723
1.8100483,2.1187038
1.9651182,2.0850518
2.4792771,2.1361976
2.5624325,2.4781835
2.1285872,2.2337353
1.5755454,1.4994441
1.3985023,1.5413705
1.9651182,1.9638518
2.3831542,2.482324
1.324801,1.6490228
1.5755454,1.5496194
1.732812,2.1828713
2.1560183,2.0688965
1.6192877,2.1574826
1.3056797,1.0075358
1.5325557,1.2062229
1.2387174,1.204771
1.3354791,1.1787146
1.4167532,1.088626
1.5755454,1.2271373
1.732812,1.579945
1.8702952,1.6008589
1.5414385,1.2025726
1.9651182,2.160577
2.4792771,2.1985743
1.8100483,2.000848
1.8707577,2.5695689
2.8138194,2.6731396
1.732812,1.9667917
2.2903492,2.1611063
1.3547285,1.5964608
2.305817,2.6055493
1.49557,1.0002375
0.0,0.45702958
0.8682695,1.4802326
1.5266585,1.4697577
1.5755454,1.4732947
1.2201387,1.2266735
2.305817,2.3402724
0.0,0.16271532
1.5384091,2.0384429
1.6860032,1.5434532
2.1560183,2.1553285
1.3056797,1.2229885
1.3056797,1.238275
1.9651182,1.6013676
1.7445145,1.7232802
2.0310287,2.2463953
2.8138194,2.6199934
0.09818574,0.34684092
1.951936,1.761282
1.3547285,1.3873984
1.6302233,1.6750847
1.9651182,1.7668375
1.6849188,1.5777291
1.8100483,1.6535311
0.0,0.25853616
2.2903492,2.359204
1.3547285,1.291904
