targets,outputs
-1.8818517,-1.5088642
-2.1693404,-1.5088642
-1.9639971,-0.73205686
-1.5316813,-0.8104596
-0.39919233,0.12582493
-1.9639971,-0.3321581
0.0,-0.48571777
2.0094118,0.9217529
-2.2967682,-1.0743394
-2.351332,-1.422576
-0.2870922,-0.84289217
-1.6292934,-0.7565615
-0.839561,-1.417263
-0.15478182,-0.8499713
-0.4987607,-0.67478704
-1.208353,-0.71641445
0.0,-0.07547903
-2.9492207,-1.1001775
0.0,0.67399025
-1.9639971,-0.8309033
-1.7435193,-1.0216594
-1.3699951,-1.1139369
-1.6292934,-1.1425545
1.6582055,-1.4487062
-2.058336,-0.73205686
-1.6292934,-1.3205783
-0.39276266,-1.0704052
0.20086288,-0.80630565
-0.23359871,-0.3968854
0.87804365,0.039523125
-2.2967682,-1.0743394
-2.8520367,-1.1001775
0.0,-0.67478704
-1.9639971,-1.4570303
0.29740477,0.3050022
-1.2688744,-0.6949792
-1.9639971,-1.5762281
1.4413576,-0.16257238
-0.4257126,-0.35545826
-2.1693404,-1.3911324
1.0712986,-0.23282242
-1.4462106,-1.309773
0.82547474,0.2872224
-1.8818517,-1.5424464
-2.497832,-1.1001775
-2.058336,-0.8309033
-0.9558587,-1.6348968
-0.97321606,-0.28954268
1.1045942,0.2872224
-1.8090155,-1.5762281
1.8755369,-0.01688099
0.24009228,0.19897127
-1.8818517,0.3361888
0.051373005,1.1540022
-0.5746715,-0.48206806
0.68717,0.60032463
3.1343756,0.64903355
1.1218557,-0.07547903
-0.6217487,-0.47768307
-1.4466901,0.0089674
-2.3045013,-1.2264767
-1.9775486,-0.68909097
-1.1522508,-0.85035515
-0.17656994,0.021334648
-2.1693404,-1.3911324
-2.0397253,-1.1001775
1.1218557,-0.07547903
1.3347173,0.45422125
-2.1693404,-1.5424464
-2.351332,-0.053320885
-1.6292934,-1.9053061
