Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,0.53335091,0.544117647,0.889276596
1,0.557606117,0.593487395,0.889276596
2,0.59122067,0.650210084,0.889276596
3,0.651726865,0.68487395,0.889276596
4,0.692064329,0.735294118,0.889276596
5,0.745979436,0.758403361,0.889276596
6,0.781966781,0.775210084,0.889276596
7,0.786712365,0.771008403,0.889276596
8,0.809253889,0.782563025,0.889276596
9,0.819140522,0.781512605,0.889276596
10,0.835090957,0.780462185,0.889276596
11,0.843527551,0.807773109,0.889276596
12,0.859873451,0.799369748,0.889276596
13,0.873187451,0.808823529,0.889276596
14,0.875296599,0.819327731,0.889276596
15,0.880174005,0.796218487,0.889276596
16,0.887556024,0.81512605,0.889276596
17,0.892301608,0.81197479,0.889276596
18,0.898892697,0.817226891,0.889276596
19,0.902451885,0.829831933,0.889276596
20,0.902583707,0.819327731,0.889276596
21,0.910624835,0.826680672,0.889276596
22,0.916820459,0.81407563,0.889276596
23,0.910888479,0.829831933,0.889276596
24,0.924202478,0.824579832,0.889276596
25,0.924993409,0.825630252,0.889276596
26,0.925916161,0.81512605,0.889276596
27,0.927629844,0.834033613,0.889276596
28,0.93026628,0.826680672,0.889276596
29,0.928948062,0.839285714,0.889276596
30,0.933298181,0.832983193,0.889276596
31,0.93843923,0.835084034,0.889276596
32,0.936725547,0.821428571,0.889276596
33,0.933034537,0.837184874,0.889276596
34,0.939757448,0.822478992,0.889276596
35,0.933561824,0.834033613,0.889276596
36,0.932639072,0.836134454,0.889276596
37,0.944898497,0.848739496,0.889276596
38,0.939757448,0.839285714,0.889276596
39,0.936857369,0.840336134,0.889276596
40,0.940284735,0.836134454,0.889276596
41,0.935934616,0.840336134,0.889276596
42,0.95030319,0.837184874,0.889276596
43,0.951225943,0.838235294,0.889276596
44,0.943448458,0.844537815,0.889276596
45,0.941866596,0.846638655,0.889276596
46,0.947007646,0.846638655,0.889276596
47,0.945557606,0.843487395,0.889276596
48,0.949380438,0.842436975,0.889276596
49,0.950435012,0.843487395,0.889276596
50,0.951225943,0.841386555,0.889276596
51,0.947930398,0.826680672,0.889276596
52,0.947139467,0.839285714,0.889276596
53,0.950171368,0.845588235,0.889276596
54,0.954521487,0.850840336,0.889276596
55,0.955048774,0.831932773,0.889276596
56,0.953071447,0.840336134,0.889276596
57,0.953862378,0.841386555,0.889276596
58,0.954653309,0.830882353,0.889276596
59,0.957817031,0.847689076,0.889276596
60,0.957157922,0.843487395,0.889276596
61,0.954785131,0.857142857,0.889276596
62,0.957289744,0.845588235,0.889276596
63,0.954521487,0.841386555,0.889276596
64,0.955576061,0.855042017,0.889276596
65,0.954785131,0.846638655,0.889276596
66,0.951357764,0.845588235,0.889276596
67,0.948194042,0.851890756,0.889276596
68,0.949907725,0.845588235,0.889276596
69,0.958212497,0.837184874,0.889276596
70,0.954389665,0.839285714,0.889276596
71,0.942657527,0.850840336,0.889276596
72,0.956103348,0.856092437,0.889276596
73,0.955576061,0.851890756,0.889276596
74,0.959662536,0.865546218,0.889276596
75,0.962298972,0.851890756,0.889276596
76,0.962035328,0.853991597,0.889276596
77,0.961112576,0.850840336,0.889276596
78,0.960585289,0.846638655,0.889276596
79,0.951885051,0.846638655,0.889276596
80,0.954126022,0.840336134,0.889276596
81,0.959398893,0.852941176,0.889276596
82,0.955839705,0.860294118,0.889276596
83,0.95847614,0.855042017,0.889276596
84,0.961112576,0.845588235,0.889276596
85,0.960585289,0.860294118,0.889276596
86,0.95992618,0.859243697,0.889276596
87,0.960980754,0.853991597,0.889276596
88,0.963880833,0.850840336,0.889276596
89,0.966780912,0.852941176,0.889276596
90,0.965067229,0.853991597,0.889276596
91,0.96216715,0.842436975,0.889276596
92,0.962826259,0.849789916,0.889276596
93,0.964935407,0.857142857,0.889276596
94,0.966780912,0.859243697,0.889276596
95,0.968494595,0.853991597,0.889276596
96,0.964539942,0.856092437,0.889276596
97,0.964144477,0.847689076,0.889276596
98,0.968626417,0.856092437,0.889276596
99,0.968230952,0.856092437,0.889276596
100,0.969944635,0.852941176,0.889276596
101,0.970471922,0.855042017,0.889276596
102,0.968890061,0.867647059,0.889276596
103,0.963485368,0.857142857,0.889276596
104,0.966517269,0.858193277,0.889276596
105,0.964935407,0.863445378,0.889276596
106,0.970603744,0.857142857,0.889276596
107,0.965594516,0.856092437,0.889276596
108,0.968362774,0.851890756,0.889276596
109,0.972053783,0.857142857,0.889276596
110,0.967044556,0.842436975,0.889276596
111,0.970208278,0.850840336,0.889276596
112,0.970735566,0.860294118,0.889276596
113,0.972844714,0.857142857,0.889276596
114,0.972317427,0.842436975,0.889276596
115,0.974690219,0.853991597,0.889276596
116,0.97258107,0.846638655,0.889276596
117,0.972185605,0.847689076,0.889276596
118,0.973372001,0.864495798,0.889276596
119,0.975876615,0.860294118,0.889276596
120,0.975612971,0.861344538,0.889276596
121,0.975349328,0.858193277,0.889276596
122,0.973503823,0.857142857,0.889276596
123,0.970735566,0.857142857,0.889276596
124,0.95992618,0.856092437,0.889276596
125,0.958739784,0.848739496,0.889276596
126,0.967308199,0.850840336,0.889276596
127,0.969944635,0.858193277,0.889276596
128,0.97258107,0.855042017,0.889276596
129,0.973899288,0.864495798,0.889276596
130,0.974162932,0.865546218,0.889276596
131,0.972976536,0.866596639,0.889276596
132,0.973240179,0.866596639,0.889276596
133,0.974162932,0.858193277,0.889276596
134,0.974558397,0.860294118,0.889276596
135,0.974426575,0.856092437,0.889276596
136,0.971921962,0.863445378,0.889276596
137,0.974558397,0.866596639,0.889276596
138,0.974690219,0.867647059,0.889276596
139,0.972976536,0.867647059,0.889276596
140,0.97258107,0.865546218,0.889276596
141,0.971921962,0.862394958,0.889276596
142,0.973899288,0.848739496,0.889276596
143,0.974822041,0.852941176,0.889276596
144,0.976008437,0.855042017,0.889276596
145,0.975876615,0.867647059,0.889276596
146,0.97627208,0.868697479,0.889276596
147,0.976931189,0.857142857,0.889276596
148,0.976931189,0.853991597,0.889276596
149,0.975744793,0.866596639,0.889276596
150,0.973503823,0.860294118,0.889276596
151,0.973635645,0.858193277,0.889276596
152,0.972317427,0.858193277,0.889276596
153,0.974953862,0.857142857,0.889276596
154,0.97627208,0.865546218,0.889276596
155,0.976140258,0.863445378,0.889276596
156,0.976403902,0.871848739,0.889276596
157,0.975349328,0.863445378,0.889276596
158,0.975217506,0.868697479,0.889276596
159,0.977063011,0.868697479,0.889276596
160,0.976667545,0.87289916,0.889276596
161,0.97627208,0.869747899,0.889276596
162,0.978381229,0.865546218,0.889276596
163,0.97627208,0.870798319,0.889276596
164,0.976931189,0.87289916,0.889276596
165,0.975217506,0.859243697,0.889276596
166,0.970471922,0.862394958,0.889276596
167,0.972317427,0.862394958,0.889276596
168,0.970999209,0.862394958,0.889276596
169,0.972053783,0.863445378,0.889276596
170,0.973767466,0.862394958,0.889276596
171,0.975612971,0.865546218,0.889276596
172,0.975744793,0.870798319,0.889276596
173,0.976008437,0.868697479,0.889276596
174,0.977063011,0.865546218,0.889276596
175,0.975612971,0.867647059,0.889276596
176,0.977194833,0.867647059,0.889276596
177,0.976535724,0.866596639,0.889276596
178,0.977590298,0.869747899,0.889276596
179,0.977326654,0.864495798,0.889276596
180,0.978776694,0.861344538,0.889276596
181,0.977194833,0.865546218,0.889276596
182,0.977985763,0.866596639,0.889276596
183,0.975876615,0.862394958,0.889276596
184,0.977853941,0.859243697,0.889276596
185,0.97772212,0.863445378,0.889276596
186,0.978249407,0.861344538,0.889276596
187,0.978381229,0.863445378,0.889276596
188,0.978776694,0.868697479,0.889276596
189,0.977985763,0.864495798,0.889276596
190,0.977063011,0.864495798,0.889276596
191,0.978644872,0.861344538,0.889276596
192,0.97772212,0.859243697,0.889276596
193,0.977985763,0.861344538,0.889276596
194,0.979172159,0.861344538,0.889276596
195,0.977194833,0.859243697,0.889276596
196,0.975744793,0.858193277,0.889276596
197,0.975085684,0.851890756,0.889276596
198,0.973767466,0.856092437,0.889276596
199,0.977194833,0.853991597,0.889276596
200,0.978381229,0.859243697,0.889276596
201,0.975481149,0.857142857,0.889276596
202,0.976799367,0.856092437,0.889276596
203,0.977194833,0.853991597,0.889276596
204,0.977458476,0.860294118,0.889276596
205,0.977194833,0.858193277,0.889276596
206,0.977590298,0.858193277,0.889276596
207,0.975217506,0.858193277,0.889276596
208,0.97851305,0.861344538,0.889276596
209,0.977194833,0.859243697,0.889276596
210,0.978117585,0.861344538,0.889276596
211,0.977063011,0.859243697,0.889276596
212,0.976667545,0.861344538,0.889276596
213,0.978644872,0.859243697,0.889276596
214,0.977194833,0.861344538,0.889276596
215,0.976931189,0.857142857,0.889276596
216,0.977590298,0.858193277,0.889276596
217,0.978776694,0.860294118,0.889276596
218,0.979040337,0.855042017,0.889276596
219,0.978776694,0.858193277,0.889276596
220,0.978249407,0.857142857,0.889276596
221,0.978249407,0.862394958,0.889276596
222,0.977458476,0.860294118,0.889276596
223,0.97851305,0.859243697,0.889276596
224,0.977194833,0.859243697,0.889276596
225,0.978381229,0.859243697,0.889276596
226,0.979303981,0.859243697,0.889276596
227,0.977985763,0.861344538,0.889276596
228,0.977853941,0.858193277,0.889276596
229,0.978644872,0.855042017,0.889276596
230,0.979040337,0.853991597,0.889276596
231,0.978117585,0.856092437,0.889276596
232,0.978776694,0.855042017,0.889276596
233,0.97772212,0.853991597,0.889276596
234,0.977853941,0.853991597,0.889276596
235,0.978908516,0.856092437,0.889276596
236,0.979172159,0.853991597,0.889276596
237,0.978776694,0.855042017,0.889276596
238,0.977985763,0.852941176,0.889276596
239,0.978117585,0.853991597,0.889276596
240,0.977853941,0.856092437,0.889276596
241,0.977853941,0.855042017,0.889276596
