Epoch,Train R$^2$,Validation R$^2$,Test R$^2$
0,-3.841499805,-0.892217278,0.591152231
1,-1.943871498,-0.495832562,0.591152231
2,-0.340116739,0.019132853,0.591152231
3,0.079854727,0.167736232,0.591152231
4,0.213820934,0.262234807,0.591152231
5,0.286466777,0.275831699,0.591152231
6,0.319369256,0.274055183,0.591152231
7,0.368610799,0.313085318,0.591152231
8,0.407169878,0.320925593,0.591152231
9,0.453369677,0.236522019,0.591152231
10,0.456602514,0.315680981,0.591152231
11,0.490189373,0.349091649,0.591152231
12,0.517431736,0.395337999,0.591152231
13,0.548807263,0.357032239,0.591152231
14,0.55442524,0.347264111,0.591152231
15,0.571955562,0.384790421,0.591152231
16,0.580193281,0.386095703,0.591152231
17,0.612802863,0.426022053,0.591152231
18,0.627090454,0.392532706,0.591152231
19,0.628729701,0.428156078,0.591152231
20,0.643358231,0.405712426,0.591152231
21,0.655166984,0.423357964,0.591152231
22,0.669874012,0.36403209,0.591152231
23,0.683419168,0.424423754,0.591152231
24,0.693723023,0.386280894,0.591152231
25,0.705614388,0.40441519,0.591152231
26,0.703665376,0.420676053,0.591152231
27,0.73675704,0.430034637,0.591152231
28,0.745094478,0.450424671,0.591152231
29,0.745583653,0.429586768,0.591152231
30,0.747651815,0.427967489,0.591152231
31,0.767785788,0.433411837,0.591152231
32,0.768410861,0.428236842,0.591152231
33,0.770927131,0.423187733,0.591152231
34,0.782102406,0.444334626,0.591152231
35,0.781650066,0.43078953,0.591152231
36,0.791729331,0.437056065,0.591152231
37,0.78897953,0.460427761,0.591152231
38,0.796783447,0.421432853,0.591152231
39,0.801817656,0.473132253,0.591152231
40,0.807042301,0.444900274,0.591152231
41,0.810582876,0.469351113,0.591152231
42,0.831121981,0.444326699,0.591152231
43,0.835040033,0.453706384,0.591152231
44,0.832636237,0.463816941,0.591152231
45,0.833021641,0.480222821,0.591152231
46,0.836698174,0.477183759,0.591152231
47,0.839770794,0.460944235,0.591152231
48,0.845828533,0.451560259,0.591152231
49,0.846454263,0.48683542,0.591152231
50,0.849462986,0.497582197,0.591152231
51,0.858822644,0.476332426,0.591152231
52,0.859934509,0.444714844,0.591152231
53,0.858008146,0.45679307,0.591152231
54,0.863949418,0.453169823,0.591152231
55,0.868628681,0.468303263,0.591152231
56,0.863275647,0.487985551,0.591152231
57,0.869122684,0.464789569,0.591152231
58,0.871916294,0.496538281,0.591152231
59,0.877674699,0.481890082,0.591152231
60,0.876213431,0.468697965,0.591152231
61,0.876492321,0.44558388,0.591152231
62,0.872990012,0.485568643,0.591152231
63,0.876999676,0.481436431,0.591152231
64,0.88173902,0.446805298,0.591152231
65,0.873718679,0.487708747,0.591152231
66,0.885129631,0.493218839,0.591152231
