entry,Catalyst,reactant1,reactant2,ee,T,reaction,T_K,Output
1,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.C1CCCO1,O=C(C)/C=C/CCCCC,O=C(OCC1=CC=CC=C1)NOS(C2=CC=C(C)C=C2)(=O)=O,0.82,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.C1CCCO1.O=C(C)/C=C/CCCCC.O=C(OCC1=CC=CC=C1)NOS(C2=CC=C(C)C=C2)(=O)=O,298.15,1.3707771408123963
2,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,C/C=C/C(C)=O,ONC(OCC1=CC=CC=C1)=O,0.95,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.C/C=C/C(C)=O.ONC(OCC1=CC=CC=C1)=O,298.15,2.170578640187654
3,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/C1=CC=C(Cl)C=C1,ONC(OCC1=CC=CC=C1)=O,0.93,30,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/C1=CC=C(Cl)C=C1.ONC(OCC1=CC=CC=C1)=O,303.15,1.9980734605991848
4,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/C1=CC=CC=C1,ONC(OCC1=CC=CC=C1)=O,0.94,30,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/C1=CC=CC=C1.ONC(OCC1=CC=CC=C1)=O,303.15,2.0940491847926275
5,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/CCCCC,O=C(OCC1=CC=CC=C1)NOC(C)=O,0.77,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/CCCCC.O=C(OCC1=CC=CC=C1)NOC(C)=O,298.15,1.209042921685095
6,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/CCCCC,O=C(OCC1=CC=CC=C1)NOS(C)(=O)=O,0.86,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/CCCCC.O=C(OCC1=CC=CC=C1)NOS(C)(=O)=O,298.15,1.5325557971793762
7,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/CCCCC,O=C(OCC1=CC=CC=C1)NOS(C2=CC=C(C)C=C2)(=O)=O,0.81,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/CCCCC.O=C(OCC1=CC=CC=C1)NOS(C2=CC=C(C)C=C2)(=O)=O,298.15,1.3354791686933107
8,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/CCCCC,ONC(OC(C)(C)C)=O,0.99,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/CCCCC.ONC(OC(C)(C)C)=O,298.15,3.136165157937852
9,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/CCCCC,ONC(OCC)=O,0.99,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/CCCCC.ONC(OCC)=O,298.15,3.136165157937852
10,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)/C=C/CCCCC,ONC(OCC1=CC=CC=C1)=O,0.99,25,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)/C=C/CCCCC.ONC(OCC1=CC=CC=C1)=O,298.15,3.136165157937852
11,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C)C=CC(OCC)=O,ONC(OCC1=CC=CC=C1)=O,0.95,30,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C)C=CC(OCC)=O.ONC(OCC1=CC=CC=C1)=O,303.15,2.206979422347433
12,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1,O=C(C1=CC=CC=C1)/C=C/C2=CC=CC=C2,ONC(OCC1=CC=CC=C1)=O,0.95,50,C=CC1C2CC(C(N)C3=C(C=C(OC)C=C4)C4=NC=C3)N(C1)CC2.CC1=CC=CC=C1.O=C(C1=CC=CC=C1)/C=C/C2=CC=CC=C2.ONC(OCC1=CC=CC=C1)=O,323.15,2.352582550986552
