entry,Catalyst,reactant1,reactant2,ee,T,reaction,T_K,Output
1,CC(C)(OC)[C@H]1NCCC1,O=CCCC1=CC=CC=C1,C=CC(C)=O,0.77,25,CC(C)(OC)[C@H]1NCCC1.O=CCCC1=CC=CC=C1.C=CC(C)=O,298.15,1.209042921685095
2,CC(C)[Si](C(C)C)(C(C)C)OC[C@H]1NCCC1,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.37,4,CC(C)[Si](C(C)C)(C(C)C)OC[C@H]1NCCC1.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0.4278456648597942
3,CC(C)[Si](C(C)C)(C(C)C)OC[C@H]1NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.44,25,CC(C)[Si](C(C)C)(C(C)C)OC[C@H]1NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.5595724578001745
4,CC(C)[Si](C(C)C)(C(C)C)OC[C@H]1NCCC1,O=CC1CCC2=C1C=CC=C2,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.66,25,CC(C)[Si](C(C)C)(C(C)C)OC[C@H]1NCCC1.O=CC1CCC2=C1C=CC=C2.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.9394488212338584
5,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O,CCCCC/C=C/CCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.93,4,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.CCCCC/C=C/CCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,1.82670644764989
6,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.88,4,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,1.5153996457051893
7,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O,O=CCC(C)C,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.96,4,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.O=CCC(C)C.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,2.143408108538853
8,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O,O=CCCC1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.88,4,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.O=CCCC1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,1.5153996457051893
9,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O,O=CCCCCC,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.92,4,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.O=CCCCCC.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,1.7503034126852486
10,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O,O=CCCCCCCC,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.86,4,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.O=CCCCCCCC.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,1.4246112332324803
11,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.OC(C(F)(F)F)=O,O=CCCCCCCC,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.7,25,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.OC(C(F)(F)F)=O.O=CCCCCCCC.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,1.0277124732021357
12,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.OS(C(F)(F)F)(=O)=O,O=CCCCCCCC,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.38,25,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.OS(C(F)(F)F)(=O)=O.O=CCCCCCCC.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,0.4740528562580625
13,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.OS(C1=CC=C(C)C=C1)(=O)=O,O=CCCCCCCC,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.18,25,CC(N1C)(C)N[C@@H](CC2=CC=CC=C2)C1=O.OS(C1=CC=C(C)C=C1)(=O)=O.O=CCCCCCCC.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,0.2156413757513361
14,CC1(C)SCN[C@@H]1C(O)=O,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0,4,CC1(C)SCN[C@@H]1C(O)=O.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0
15,CC1(C)SCN[C@@H]1C(O)=O,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.28,25,CC1(C)SCN[C@@H]1C(O)=O.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.3408904350161195
16,CCCCNC[C@H]1NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.12,25,CCCCNC[C@H]1NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1428831448498942
17,CN1[C@@H](C(C)(C)C)N[C@@H](C)C1=O.OC(C(F)(F)F)=O,O=CCCCCCCC,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.5,25,CN1[C@@H](C(C)(C)C)N[C@@H](C)C1=O.OC(C(F)(F)F)=O.O=CCCCCCCC.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,0.6509033006582264
18,CN1[C@@H](C(C)(C)C)N[C@@H](CC2C3=CC=CC=C3NC2)C1=O.OC(C(F)(F)F)=O,O=CCCCCCCC,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.54,25,CN1[C@@H](C(C)(C)C)N[C@@H](CC2C3=CC=CC=C3NC2)C1=O.OC(C(F)(F)F)=O.O=CCCCCCCC.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,0.7158974647116849
19,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=CCC(C)C,C=CC(C)=O,0.98,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=CCC(C)C.C=CC(C)=O,277.15,2.5307481826095235
20,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=CCCC,C=CC(C)=O,0.97,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=CCCC.C=CC(C)=O,277.15,2.304650918214904
21,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=CCCC1=CC=CC=C1,C=CC(C)=O,0.97,25,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=CCCC1=CC=CC=C1.C=CC(C)=O,298.15,2.479277182990343
22,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=CCCCC,C=CC(C)=O,0.95,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=CCCCC.C=CC(C)=O,277.15,2.0176953551165795
23,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=CCCCCCCC,C=CC(C)=O,0.95,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=CCCCCCCC.C=CC(C)=O,277.15,2.0176953551165795
24,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O,CCC=O,C=CC(C)=O,0.97,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O.CCC=O.C=CC(C)=O,277.15,2.304650918214904
25,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O,CCC=O,C=CC(CC)=O,0.99,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O.CCC=O.C=CC(CC)=O,277.15,2.915271418824335
26,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O,O=CCC(C)C,C=CC(CC)=O,0.99,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O.O=CCC(C)C.C=CC(CC)=O,277.15,2.915271418824335
27,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O,O=CCCC,C=CC(CC)=O,0.95,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O.O=CCCC.C=CC(CC)=O,277.15,2.0176953551165795
28,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O,O=CCCC1=CC=CC=C1,C=CC(CC)=O,0.95,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O.O=CCCC1=CC=CC=C1.C=CC(CC)=O,277.15,2.0176953551165795
29,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O,O=CCCCC,C=CC(CC)=O,0.95,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O.O=CCCCC.C=CC(CC)=O,277.15,2.0176953551165795
30,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O,O=CCCCCCCC,C=CC(CC)=O,0.95,4,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.OC1=CC=C(C(OCC)=O)C=C1O.O=CCCCCCCC.C=CC(CC)=O,277.15,2.0176953551165795
31,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NC[C@H](C(O)=O)C3,O=CCCC1=CC=CC=C1,C=CC(C)=O,0.99,25,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NC[C@H](C(O)=O)C3.O=CCCC1=CC=CC=C1.C=CC(C)=O,298.15,3.136165157937852
32,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NC[C@H](O)C3,O=CCCC1=CC=CC=C1,C=CC(C)=O,0.96,25,COC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NC[C@H](O)C3.O=CCCC1=CC=CC=C1.C=CC(C)=O,298.15,2.305816805198843
33,COC[C@H]1NCCC1,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.32,4,COC[C@H]1NCCC1.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0.365307258568515
34,COC[C@H]1NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.24,25,COC[C@H]1NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.2900464148982283
35,COC[C@H]1N[C@H](COC)CC1,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.46,4,COC[C@H]1N[C@H](COC)CC1.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0.5477853367316443
36,COC[C@H]1N[C@H](COC)CC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.14,25,COC[C@H]1N[C@H](COC)CC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1669905271543121
37,C[C@H]1N[C@H](C)CC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.18,25,C[C@H]1N[C@H](C)CC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.2156413757513361
38,NC([C@H]1NCCC1)=O,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.22,4,NC([C@H]1NCCC1)=O.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0.2463558339702244
39,NC[C@H]1NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.12,25,NC[C@H]1NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1428831448498942
40,O=C(N(N1CCCC1)C[C@H]2NCCC2)C(F)(F)F,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.16,25,O=C(N(N1CCCC1)C[C@H]2NCCC2)C(F)(F)F.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1912360425563578
41,O=C(N1CCOCC1)[C@H]2NCCC2,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.08,25,O=C(N1CCOCC1)[C@H]2NCCC2.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.0949994472542722
42,O=C(O)[C@H]1NCSC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0,25,O=C(O)[C@H]1NCSC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0
43,O=C(O)[C@H]1NC[C@H](O)C1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.22,25,O=C(O)[C@H]1NC[C@H](O)C1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.2650225217327167
44,O=C(O)[C@H]1NC[C@H](OC(C)(C)C)C1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.27,25,O=C(O)[C@H]1NC[C@H](OC(C)(C)C)C1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.3280712911331731
45,O=C(OC(C)(C)C)[C@H]1NCCC1,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.13,25,O=C(OC(C)(C)C)[C@H]1NCCC1.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1549208957320644
46,O=C(OCC1=CC=CC=C1)[C@H]2NCCC2,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.28,25,O=C(OCC1=CC=CC=C1)[C@H]2NCCC2.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.3408904350161195
47,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.76,4,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,1.0973248103895363
48,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2,O=CC(C)C1=CC=CC=C1,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.16,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.O=CC(C)C1=CC=CC=C1.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,298.15,0.1912360425563578
49,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,CCC=O,CC1=C(C(O)C2=CC=CC=C2)C3=CC=CC=C3C1,0.92,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.CCC=O.CC1=C(C(O)C2=CC=CC=C2)C3=CC=CC=C3C1,298.15,1.8829260779076564
50,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,CCC=O,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.77,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.CCC=O.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,1.209042921685095
51,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,CCC=O,OC1C2=C(C=CC=C2)SC3=CC=CC=C31,0.74,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.CCC=O.OC1C2=C(C=CC=C2)SC3=CC=CC=C31,298.15,1.1262757069428044
