entry,Catalyst,reactant1,reactant2,ee,solvent,other,T,reaction,T_K,Output
1,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,CN(C1=CC=CC=C1)C2=CC=CC=C2,0,CC1=CC=CC=C1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.CC1=CC=CC=C1.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,0
2,FC1=CC=C(C2=[N]3C=CC=C2)C([Ir+3]45(C6=CC(F)=CC=C6C7=[N]5C=CC=C7)3C8=CC(F)=CC=C8C9=[N]4C=CC=C9)=C1,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,CN(C1=CC=CC=C1)C2=CC=CC=C2,0.93,CC1=CC=CC=C1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,FC1=CC=C(C2=[N]3C=CC=C2)C([Ir+3]45(C6=CC(F)=CC=C6C7=[N]5C=CC=C7)3C8=CC(F)=CC=C8C9=[N]4C=CC=C9)=C1.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.CC1=CC=CC=C1.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.965118265801244
3,FC1=CC=C(C2=[N]3C=CC=C2)C([Ir+3]45(C6=CC(F)=CC=C6C7=[N]5C=CC=C7)3C8=CC(F)=CC=C8C9=[N]4C=CC=C9)=C1,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.88,CC1=CC=CC=C1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%15)(F)F,25,FC1=CC=C(C2=[N]3C=CC=C2)C([Ir+3]45(C6=CC(F)=CC=C6C7=[N]5C=CC=C7)3C8=CC(F)=CC=C8C9=[N]4C=CC=C9)=C1.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%15)(F)F.CC1=CC=CC=C1.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.6302233605159742
4,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.86,CC1=CC=CC=C1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.CC1=CC=CC=C1.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.5325557971793762
5,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.91,CC1=CC=CC=C1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.CC1=CC=CC=C1.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.8100483683923776
6,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.92,CCOCC,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.CCOCC.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.8829260779076564
7,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.93,COC1CCCC1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.COC1CCCC1.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.965118265801244
8,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.93,COC1CCCC1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.COC1CCCC1.[H]/C(C1=CC=CC=C1)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.965118265801244
9,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=C(C)C=C1)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.97,COC1CCCC1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.COC1CCCC1.[H]/C(C1=CC=C(C)C=C1)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,2.479277182990343
10,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9,[H]/C(C1=CC=C(C=C1)F)=N\S(C)(=O)=O,C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,0.91,COC1CCCC1,FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F,25,C1([Ir+3]23(C4=CC=CC=C4C5=[N]3C=CC=C5)6C7=CC=CC=C7C8=[N]2C=CC=C8)=CC=CC=C1C9=[N]6C=CC=C9.FC(C(C=C1C2=CC=CC=C2)=CC=C1C3=C(N[P+](NC4=CC5=CC=CC=C5C=C4)(NC6=C7C8=CC=CC=C8C=C6C9=CC=C(C(F)(F)F)C=C9C%10=CC=CC=C%10)NC%11=CC=C(C=CC=C%12)C%12=C%11)C7=C%13C(C=CC=C%13)=C3)(F)F.FC(C%14=CC(C(F)(F)F)=CC([B-](C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)(C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16)C%17=CC(C(F)(F)F)=CC(C(F)(F)F)=C%17)=C%14)(F)F.COC1CCCC1.[H]/C(C1=CC=C(C=C1)F)=N\S(C)(=O)=O.C[Si](C)(C)CN(C1=CC=CC=C1)C2=CC=CC=C2,298.15,1.8100483683923776
